game_id,game_date,home_team,away_team,home_lineup_quality_score,away_lineup_quality_score,lineup_quality_diff,home_top3_available,away_top3_available,home_projected_lineup_available,away_projected_lineup_available,home_confirmed_lineup_available,away_confirmed_lineup_available,lineup_confidence_grade,lineup_context_available,lineup_quality_warning
823209,2026-06-25,Giants,Athletics,100,100,0,True,True,True,True,True,True,A,True,
823210,2026-06-24,Giants,Athletics,100,100,0,True,True,True,True,True,True,A,True,
823211,2026-06-13,Giants,Cubs,100,100,0,True,True,True,True,True,True,A,True,
823212,2026-06-14,Giants,Cubs,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823213,2026-06-14,Giants,Cubs,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823214,2026-06-10,Giants,Nationals,100,100,0,True,True,True,True,True,True,A,True,
823215,2026-06-10,Giants,Nationals,100,100,0,True,True,True,True,True,True,A,True,
823218,2026-06-09,Giants,Nationals,100,100,0,True,True,True,True,True,True,A,True,
823281,2026-06-28,Padres,Dodgers,100,100,0,True,True,True,True,True,True,A,True,
823283,2026-06-28,Padres,Dodgers,100,100,0,True,True,True,True,True,True,A,True,
823284,2026-06-25,Padres,Braves,100,100,0,True,True,True,True,True,True,A,True,
823285,2026-06-27,Padres,Dodgers,100,100,0,True,True,True,True,True,True,A,True,
823286,2026-06-24,Padres,Braves,100,100,0,True,True,True,True,True,True,A,True,
823287,2026-06-10,Padres,Reds,100,100,0,True,True,True,True,True,True,A,True,
823288,2026-06-23,Padres,Braves,100,100,0,True,True,True,True,True,True,A,True,
823289,2026-06-09,Padres,Reds,100,100,0,True,True,True,True,True,True,A,True,
823290,2026-06-10,Padres,Reds,100,100,0,True,True,True,True,True,True,A,True,
823291,2026-06-07,Padres,Mets,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823292,2026-06-07,Padres,Mets,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823293,2026-06-06,Padres,Mets,100,100,0,True,True,True,True,True,True,A,True,
823295,2026-05-27,Padres,Phillies,0,0,0,False,False,False,False,False,False,D,False,confirmed lineup missing | projected lineup incomplete | top3 hitter ids incomplete | top3 savant incomplete
823362,2026-06-28,Pirates,Reds,100,100,0,True,True,True,True,True,True,A,True,
823363,2026-06-26,Pirates,Reds,100,100,0,True,True,True,True,True,True,A,True,
823364,2026-06-27,Pirates,Reds,100,100,0,True,True,True,True,True,True,A,True,
823365,2026-06-23,Pirates,Mariners,100,100,0,True,True,True,True,True,True,A,True,
823366,2026-06-25,Pirates,Mariners,100,100,0,True,True,True,True,True,True,A,True,
823367,2026-06-24,Pirates,Mariners,100,100,0,True,True,True,True,True,True,A,True,
823368,2026-06-14,Pirates,Marlins,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823369,2026-06-13,Pirates,Marlins,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823370,2026-06-12,Pirates,Marlins,100,100,0,True,True,True,True,True,True,A,True,
823371,2026-06-11,Pirates,Dodgers,100,100,0,True,True,True,True,True,True,A,True,
823372,2026-06-10,Pirates,Dodgers,100,100,0,True,True,True,True,True,True,A,True,
823373,2026-05-31,Pirates,Twins,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823374,2026-06-09,Pirates,Dodgers,100,100,0,True,True,True,True,True,True,A,True,
