game_id,game_date,start_time,home_team,away_team,venue_name,weather_source,weather_source_status,weather_captured_at,weather_forecast_time,weather_api_endpoint,weather_lat,weather_lon,weather_temp_f,weather_feels_like_f,weather_wind_speed_mph,weather_wind_deg,weather_precip_probability,weather_rain_3h_in,weather_snow_3h_in,weather_condition,weather_is_dome,temp_effect,wind_effect,precip_effect,weather_reason
824187,2026-05-31,2026-05-31T18:10:00+00:00,Houston Astros,Milwaukee Brewers,Minute Maid Park,dome_neutral,dome_neutral,2026-06-04T20:05:12.409289+00:00,,,29.7573,-95.3555,,,,,,,,,True,0.0,0.0,0.0,
824188,2026-06-03,2026-06-04T00:10:00+00:00,Houston Astros,Pittsburgh Pirates,Minute Maid Park,dome_neutral,dome_neutral,2026-06-04T20:05:12.409289+00:00,,,29.7573,-95.3555,,,,,,,,,True,0.0,0.0,0.0,
824189,2026-06-02,2026-06-03T00:10:00+00:00,Houston Astros,Pittsburgh Pirates,Minute Maid Park,dome_neutral,dome_neutral,2026-06-04T20:05:12.409289+00:00,,,29.7573,-95.3555,,,,,,,,,True,0.0,0.0,0.0,
824190,2026-05-30,2026-05-30T20:10:00+00:00,Houston Astros,Milwaukee Brewers,Minute Maid Park,dome_neutral,dome_neutral,2026-06-04T20:05:12.409289+00:00,,,29.7573,-95.3555,,,,,,,,,True,0.0,0.0,0.0,
824352,2026-05-30,2026-05-31T01:10:00+00:00,Colorado Rockies,San Francisco Giants,Coors Field,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.7559,-104.9941,88.43,84.63,10.11,169.0,0.0,,,overcast clouds,False,0.01,0.005,0.0,
824354,2026-05-31,2026-05-31T19:10:00+00:00,Colorado Rockies,San Francisco Giants,Coors Field,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.7559,-104.9941,88.43,84.63,10.11,169.0,0.0,,,overcast clouds,False,0.01,0.005,0.0,
824430,2026-05-31,2026-05-31T17:40:00+00:00,Cleveland Guardians,Boston Red Sox,Progressive Field,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,41.4962,-81.6852,82.85,81.72,4.32,262.0,0.0,,,overcast clouds,False,0.0,0.0,0.0,
824431,2026-05-30,2026-05-30T20:10:00+00:00,Cleveland Guardians,Boston Red Sox,Progressive Field,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,41.4962,-81.6852,82.85,81.72,4.32,262.0,0.0,,,overcast clouds,False,0.0,0.0,0.0,
824509,2026-06-03,2026-06-03T23:10:00+00:00,Cincinnati Reds,Kansas City Royals,Great American Ball Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.0979,-84.5082,84.51,84.34,5.93,240.0,0.0,,,few clouds,False,0.0,0.0,0.0,
824510,2026-06-01,2026-06-01T23:10:00+00:00,Cincinnati Reds,Kansas City Royals,Great American Ball Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.0979,-84.5082,84.51,84.34,5.93,240.0,0.0,,,few clouds,False,0.0,0.0,0.0,
824511,2026-06-02,2026-06-02T23:10:00+00:00,Cincinnati Reds,Kansas City Royals,Great American Ball Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.0979,-84.5082,84.51,84.34,5.93,240.0,0.0,,,few clouds,False,0.0,0.0,0.0,
824512,2026-05-31,2026-05-31T17:40:00+00:00,Cincinnati Reds,Atlanta Braves,Great American Ball Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.0979,-84.5082,84.51,84.34,5.93,240.0,0.0,,,few clouds,False,0.0,0.0,0.0,
824513,2026-05-30,2026-05-30T23:15:00+00:00,Cincinnati Reds,Atlanta Braves,Great American Ball Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.0979,-84.5082,84.51,84.34,5.93,240.0,0.0,,,few clouds,False,0.0,0.0,0.0,
824592,2026-05-31,2026-05-31T18:10:00+00:00,Chicago White Sox,Detroit Tigers,Guaranteed Rate Field,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,41.8299,-87.6338,85.62,86.09,12.28,216.0,0.0,,,overcast clouds,False,0.01,0.005,0.0,
824593,2026-05-30,2026-05-30T18:10:00+00:00,Chicago White Sox,Detroit Tigers,Guaranteed Rate Field,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,41.8299,-87.6338,85.62,86.09,12.28,216.0,0.0,,,overcast clouds,False,0.01,0.005,0.0,
824671,2026-06-03,2026-06-04T00:05:00+00:00,Chicago Cubs,Athletics,Wrigley Field,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,41.9484,-87.6553,85.35,84.7,12.53,216.0,0.0,,,broken clouds,False,0.01,0.005,0.0,
824672,2026-06-04,2026-06-05T00:05:00+00:00,Chicago Cubs,Athletics,Wrigley Field,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,41.9484,-87.6553,83.37,82.54,10.76,209.0,0.0,,,broken clouds,False,0.0,0.005,0.0,
824675,2026-06-02,2026-06-03T00:05:00+00:00,Chicago Cubs,Athletics,Wrigley Field,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,41.9484,-87.6553,85.35,84.7,12.53,216.0,0.0,,,broken clouds,False,0.01,0.005,0.0,
824753,2026-06-04,2026-06-04T17:35:00+00:00,Boston Red Sox,Baltimore Orioles,Fenway Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,42.3467,-71.0972,88.81,86.99,7.61,234.0,0.0,,,broken clouds,False,0.01,0.0,0.0,
824754,2026-06-02,2026-06-02T22:45:00+00:00,Boston Red Sox,Baltimore Orioles,Fenway Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,42.3467,-71.0972,88.81,86.99,7.61,234.0,0.0,,,broken clouds,False,0.01,0.0,0.0,
824755,2026-06-03,2026-06-03T22:45:00+00:00,Boston Red Sox,Baltimore Orioles,Fenway Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,42.3467,-71.0972,88.81,86.99,7.61,234.0,0.0,,,broken clouds,False,0.01,0.0,0.0,
824832,2026-05-31,2026-05-31T16:15:00+00:00,Baltimore Orioles,Toronto Blue Jays,Oriole Park at Camden Yards,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.2847,-76.621,88.32,86.65,1.9,294.0,0.0,,,broken clouds,False,0.01,0.0,0.0,
824833,2026-05-30,2026-05-30T20:05:00+00:00,Baltimore Orioles,Toronto Blue Jays,Oriole Park at Camden Yards,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,39.2847,-76.621,88.32,86.65,1.9,294.0,0.0,,,broken clouds,False,0.01,0.0,0.0,
824917,2026-06-03,2026-06-03T23:15:00+00:00,Atlanta Braves,Toronto Blue Jays,Truist Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,33.8908,-84.4678,82.83,81.7,6.76,130.0,0.0,,,clear sky,False,0.0,0.0,0.0,
824918,2026-06-02,2026-06-02T23:15:00+00:00,Atlanta Braves,Toronto Blue Jays,Truist Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,33.8908,-84.4678,82.83,81.7,6.76,130.0,0.0,,,clear sky,False,0.0,0.0,0.0,
824919,2026-06-04,2026-06-04T23:15:00+00:00,Atlanta Braves,Toronto Blue Jays,Truist Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-05T00:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,33.8908,-84.4678,81.52,80.4,6.91,149.0,0.0,,,clear sky,False,0.0,0.0,0.0,
825000,2026-05-30,2026-05-31T02:05:00+00:00,Athletics,New York Yankees,Sutter Health Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.5804,-121.5134,86.74,86.54,5.14,354.0,0.0,,,clear sky,False,0.01,0.0,0.0,
825001,2026-05-31,2026-05-31T20:05:00+00:00,Athletics,New York Yankees,Sutter Health Park,openweather,forecast_ok,2026-06-04T20:05:12.409289+00:00,2026-06-04T21:00:00+00:00,https://api.openweathermap.org/data/2.5/forecast,38.5804,-121.5134,86.74,86.54,5.14,354.0,0.0,,,clear sky,False,0.01,0.0,0.0,
825076,2026-06-04,2026-06-05T01:40:00+00:00,Arizona Diamondbacks,Los Angeles Dodgers,Chase Field,dome_neutral,dome_neutral,2026-06-04T20:05:12.409289+00:00,,,33.4455,-112.0667,,,,,,,,,True,0.0,0.0,0.0,
825077,2026-06-03,2026-06-04T01:40:00+00:00,Arizona Diamondbacks,Los Angeles Dodgers,Chase Field,dome_neutral,dome_neutral,2026-06-04T20:05:12.409289+00:00,,,33.4455,-112.0667,,,,,,,,,True,0.0,0.0,0.0,
825078,2026-06-01,2026-06-02T01:40:00+00:00,Arizona Diamondbacks,Los Angeles Dodgers,Chase Field,dome_neutral,dome_neutral,2026-06-04T20:05:12.409289+00:00,,,33.4455,-112.0667,,,,,,,,,True,0.0,0.0,0.0,
825079,2026-06-02,2026-06-03T01:40:00+00:00,Arizona Diamondbacks,Los Angeles Dodgers,Chase Field,dome_neutral,dome_neutral,2026-06-04T20:05:12.409289+00:00,,,33.4455,-112.0667,,,,,,,,,True,0.0,0.0,0.0,
