game_id,game_date,start_time,captured_at,home_team,away_team,home_top3_player_ids,away_top3_player_ids,home_top3_player_names,away_top3_player_names,home_top3_source_status,away_top3_source_status,home_top3_reason,away_top3_reason,top3_player_source,top3_player_captured_at
822807,2026-06-07,2026-06-07T17:37:00+00:00,2026-06-07T10:56:39.401112+00:00,Toronto Blue Jays,Baltimore Orioles,"649966,672960,662139","624413,677942,694212","Luis Urías,Kazuma Okamoto,Daulton Varsho","Pete Alonso,Blaze Alexander,Samuel Basallo",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822808,2026-06-06,2026-06-06T19:07:00+00:00,2026-06-06T13:40:39.003341+00:00,Toronto Blue Jays,Baltimore Orioles,"649966,672960,662139","624413,677942,694212","Luis Urías,Kazuma Okamoto,Daulton Varsho","Pete Alonso,Blaze Alexander,Samuel Basallo",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822810,2026-06-05,2026-06-05T23:07:00+00:00,2026-06-05T21:25:18.854859+00:00,Toronto Blue Jays,Baltimore Orioles,"543807,664770,665489","621493,683002,668939","543807,664770,665489","621493,683002,668939",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822883,2026-06-21,2026-06-21T18:35:00+00:00,2026-06-21T18:24:23.411178+00:00,Texas Rangers,San Diego Padres,"694671,673962,607043","669392,701538,592518","694671,673962,607043","669392,701538,592518",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822885,2026-06-20,2026-06-20T20:05:00+00:00,2026-06-20T18:20:10.253984+00:00,Texas Rangers,San Diego Padres,"592626,673962,694671","665487,669392,592518","592626,673962,694671","665487,669392,592518",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822886,2026-06-19,2026-06-20T00:05:00+00:00,2026-06-19T23:07:05.312509+00:00,Texas Rangers,San Diego Padres,"592626,673962,694671","665487,669392,701538","592626,673962,694671","665487,669392,701538",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822887,2026-06-15,2026-06-16T00:05:00+00:00,2026-06-15T10:30:49.037896+00:00,Texas Rangers,Minnesota Twins,"694671,673962,592626","621439,668952,663616","Wyatt Langford,Josh Jung,Joc Pederson","Byron Buxton,Ryan Kreidler,Trevor Larnach",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822888,2026-06-16,2026-06-17T00:05:00+00:00,2026-06-16T23:41:50.007397+00:00,Texas Rangers,Minnesota Twins,"592626,673962,694671","663616,621439,665019","592626,673962,694671","663616,621439,665019",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822889,2026-06-18,2026-06-18T18:35:00+00:00,2026-06-18T18:32:06.641012+00:00,Texas Rangers,Minnesota Twins,"592626,673962,694671","663616,621439,665019","592626,673962,694671","663616,621439,665019",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822890,2026-06-07,2026-06-07T18:35:00+00:00,2026-06-07T10:56:39.401112+00:00,Texas Rangers,Cleveland Guardians,"694671,673962,592626","683953,677587,700932","Wyatt Langford,Josh Jung,Joc Pederson","Travis Bazzana,Brayan Rocchio,Kyle Manzardo",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
