experiment,fold_id,game_id,game_date,home_team,away_team,research_home_prob,outcome
core_plus__sp_fip_diff,1,823371,2026-06-11,Pirates,Dodgers,0.4749466922960215,0
core_plus__sp_fip_diff,1,823619,2026-06-11,Mets,Cardinals,0.6082153215631819,1
core_plus__sp_fip_diff,1,823855,2026-06-11,Marlins,D-backs,0.7184603549445,1
core_plus__sp_fip_diff,1,824101,2026-06-11,Royals,Rangers,0.4371022280816308,0
core_plus__sp_fip_diff,1,824265,2026-06-11,Tigers,Twins,0.7045455948179158,1
core_plus__sp_fip_diff,1,824346,2026-06-11,Rockies,Cubs,0.3921244224632149,0
core_plus__sp_fip_diff,1,824827,2026-06-11,Orioles,Mariners,0.4828005292263152,1
core_plus__sp_fip_diff,1,822726,2026-06-12,Nationals,Mariners,0.6073390420863078,0
core_plus__sp_fip_diff,1,822803,2026-06-12,Blue Jays,Yankees,0.32497969077954103,1
core_plus__sp_fip_diff,1,823211,2026-06-13,Giants,Cubs,0.5379220432234755,0
core_plus__sp_fip_diff,1,823370,2026-06-12,Pirates,Marlins,0.5515801276148573,0
core_plus__sp_fip_diff,1,823617,2026-06-12,Mets,Braves,0.6649498603622385,1
core_plus__sp_fip_diff,1,823695,2026-06-13,Twins,Cardinals,0.3730956341564141,1
core_plus__sp_fip_diff,1,823778,2026-06-12,Brewers,Phillies,0.3161887642298236,1
core_plus__sp_fip_diff,2,824020,2026-06-13,Angels,Rays,0.4243488004605525,1
core_plus__sp_fip_diff,2,824102,2026-06-13,Royals,Astros,0.5671254867794209,0
core_plus__sp_fip_diff,2,824425,2026-06-12,Guardians,Tigers,0.5008475104928545,1
core_plus__sp_fip_diff,2,824507,2026-06-12,Reds,D-backs,0.2753781619730523,0
core_plus__sp_fip_diff,2,824588,2026-06-12,White Sox,Dodgers,0.4820514840598777,1
core_plus__sp_fip_diff,2,824752,2026-06-12,Red Sox,Rangers,0.4939013872833448,1
core_plus__sp_fip_diff,2,824826,2026-06-12,Orioles,Padres,0.6989346824581238,1
core_plus__sp_fip_diff,2,824997,2026-06-13,Athletics,Rockies,0.4856635591255876,1
core_plus__sp_fip_diff,2,822725,2026-06-13,Nationals,Mariners,0.6356034314153093,1
core_plus__sp_fip_diff,2,822802,2026-06-13,Blue Jays,Yankees,0.3466989179306068,0
core_plus__sp_fip_diff,2,823213,2026-06-14,Giants,Cubs,0.41630070597481256,0
core_plus__sp_fip_diff,2,823369,2026-06-13,Pirates,Marlins,0.45722462272268505,1
core_plus__sp_fip_diff,2,823616,2026-06-13,Mets,Braves,0.6269528669735229,0
core_plus__sp_fip_diff,2,823694,2026-06-13,Twins,Cardinals,0.5856245298946591,0
core_plus__sp_fip_diff,2,823776,2026-06-13,Brewers,Phillies,0.6230075073891964,0
core_plus__sp_fip_diff,2,824019,2026-06-14,Angels,Rays,0.5830708167749749,1
core_plus__sp_fip_diff,2,824100,2026-06-13,Royals,Astros,0.6619559090807329,0
core_plus__sp_fip_diff,2,824426,2026-06-13,Guardians,Tigers,0.27557936472166467,1
core_plus__sp_fip_diff,2,824508,2026-06-13,Reds,D-backs,0.40580576945054925,1
core_plus__sp_fip_diff,2,824587,2026-06-13,White Sox,Dodgers,0.5118344235962877,0
core_plus__sp_fip_diff,2,824749,2026-06-13,Red Sox,Rangers,0.48051398661162736,1
core_plus__sp_fip_diff,2,824828,2026-06-13,Orioles,Padres,0.49632002167723915,0
core_plus__sp_fip_diff,2,824995,2026-06-14,Athletics,Rockies,0.4771273991426638,1
core_plus__sp_fip_diff,2,822722,2026-06-14,Nationals,Mariners,0.3465247318300546,1
core_plus__sp_fip_diff,2,822801,2026-06-14,Blue Jays,Yankees,0.33692821604703704,0
core_plus__sp_fip_diff,2,823212,2026-06-14,Giants,Cubs,0.6985799895140989,1
core_plus__sp_fip_diff,2,823368,2026-06-14,Pirates,Marlins,0.6379774635615606,0
core_plus__sp_fip_diff,2,823615,2026-06-14,Mets,Braves,0.5729594342771447,1
core_plus__sp_fip_diff,2,823693,2026-06-14,Twins,Cardinals,0.5031447079256162,1
core_plus__sp_fip_diff,2,823777,2026-06-14,Brewers,Phillies,0.3364384832653214,1
core_plus__sp_fip_diff,2,824021,2026-06-14,Angels,Rays,0.47279923123488726,0
core_plus__sp_fip_diff,2,824099,2026-06-14,Royals,Astros,0.42477401346621024,1
core_plus__sp_fip_diff,2,824506,2026-06-14,Reds,D-backs,0.5627137519303573,0
core_plus__sp_fip_diff,2,824586,2026-06-14,White Sox,Dodgers,0.44334640045254237,1
core_plus__sp_fip_diff,2,824751,2026-06-14,Red Sox,Rangers,0.4461367114353294,0
core_plus__sp_fip_diff,2,824823,2026-06-14,Orioles,Padres,0.440920412337504,0
core_plus__sp_fip_diff,2,824994,2026-06-14,Athletics,Rockies,0.5312610299181857,0
core_plus__sp_fip_diff,2,822724,2026-06-15,Nationals,Royals,0.9087507042183491,1
core_plus__sp_fip_diff,2,822887,2026-06-16,Rangers,Twins,0.48804983064397034,0
core_plus__sp_fip_diff,2,823046,2026-06-15,Cardinals,Padres,0.6065970051689832,1
core_plus__sp_fip_diff,2,823452,2026-06-15,Phillies,Marlins,0.4750632204147249,1
core_plus__sp_fip_diff,2,823938,2026-06-16,Dodgers,Rays,0.28934699456076796,1
core_plus__sp_fip_diff,2,824181,2026-06-16,Astros,Tigers,0.5585470724570845,0
core_plus__sp_fip_diff,2,824505,2026-06-15,Reds,Mets,0.5070585250489328,1
core_plus__sp_fip_diff,2,824666,2026-06-16,Cubs,Rockies,0.5697019498586875,1
core_plus__sp_fip_diff,2,824993,2026-06-16,Athletics,Pirates,0.5275494682321502,1
core_plus__sp_fip_diff,2,825071,2026-06-16,D-backs,Angels,0.3470834091660056,1
core_plus__sp_fip_diff,2,822723,2026-06-16,Nationals,Royals,0.5759974456400864,1
core_plus__sp_fip_diff,2,822888,2026-06-17,Rangers,Twins,0.6435823243346084,0
core_plus__sp_fip_diff,2,823045,2026-06-16,Cardinals,Padres,0.6355066581971364,1
core_plus__sp_fip_diff,2,823128,2026-06-17,Mariners,Orioles,0.5765269590419367,1
core_plus__sp_fip_diff,2,823451,2026-06-16,Phillies,Marlins,0.44281456137588876,1
core_plus__sp_fip_diff,2,823535,2026-06-16,Yankees,White Sox,0.3496882638789765,1
core_plus__sp_fip_diff,2,823775,2026-06-16,Brewers,Guardians,0.19222951287049458,1
core_plus__sp_fip_diff,2,823939,2026-06-17,Dodgers,Rays,0.5090514856852384,1
core_plus__sp_fip_diff,2,824182,2026-06-17,Astros,Tigers,0.768089869627402,1
core_plus__sp_fip_diff,2,824504,2026-06-16,Reds,Mets,0.45917618245312636,1
core_plus__sp_fip_diff,2,824667,2026-06-17,Cubs,Rockies,0.482392557028841,0
core_plus__sp_fip_diff,2,824750,2026-06-16,Red Sox,Blue Jays,0.42108747780910827,0
core_plus__sp_fip_diff,2,824912,2026-06-16,Braves,Giants,0.58713232646357,0
core_plus__sp_fip_diff,2,824991,2026-06-17,Athletics,Pirates,0.4810495378284927,0
core_plus__sp_fip_diff,2,825070,2026-06-17,D-backs,Angels,0.2931503180209732,0
core_plus__sp_fip_diff,2,822721,2026-06-17,Nationals,Royals,0.5990663245815236,0
core_plus__sp_fip_diff,2,823044,2026-06-17,Cardinals,Padres,0.6152977861996574,0
core_plus__sp_fip_diff,2,823127,2026-06-18,Mariners,Orioles,0.5521579521046558,0
core_plus__sp_fip_diff,2,823450,2026-06-17,Phillies,Marlins,0.3964226492876053,0
core_plus__sp_fip_diff,2,823536,2026-06-17,Yankees,White Sox,0.4554515403722339,1
core_plus__sp_fip_diff,2,823774,2026-06-17,Brewers,Guardians,0.28879673923289584,1
core_plus__sp_fip_diff,3,823940,2026-06-17,Dodgers,Rays,0.5701227953693949,1
core_plus__sp_fip_diff,3,824178,2026-06-17,Astros,Tigers,0.4157562716920515,1
core_plus__sp_fip_diff,3,824503,2026-06-17,Reds,Mets,0.3278567560493882,0
core_plus__sp_fip_diff,3,824668,2026-06-18,Cubs,Rockies,0.2938839467009235,1
core_plus__sp_fip_diff,3,824746,2026-06-17,Red Sox,Blue Jays,0.5952970314523994,0
core_plus__sp_fip_diff,3,824913,2026-06-17,Braves,Giants,0.4924014497715196,0
core_plus__sp_fip_diff,3,824992,2026-06-18,Athletics,Pirates,0.42436757321493973,0
core_plus__sp_fip_diff,3,825072,2026-06-17,D-backs,Angels,0.4411492416016744,1
core_plus__sp_fip_diff,3,822889,2026-06-18,Rangers,Twins,0.44516832417006985,0
core_plus__sp_fip_diff,3,823125,2026-06-18,Mariners,Orioles,0.6263849997935526,1
core_plus__sp_fip_diff,3,823448,2026-06-18,Phillies,Mets,0.42205182791547935,0
core_plus__sp_fip_diff,3,823533,2026-06-18,Yankees,White Sox,0.47754253543815184,0
core_plus__sp_fip_diff,3,823772,2026-06-18,Brewers,Guardians,0.4449753100202336,0
core_plus__sp_fip_diff,3,824098,2026-06-18,Royals,Cardinals,0.5371792054327712,1
core_plus__sp_fip_diff,3,824748,2026-06-18,Red Sox,Blue Jays,0.5327379202539732,0
core_plus__sp_fip_diff,3,824989,2026-06-19,Athletics,Angels,0.5295480387921878,1
core_plus__sp_fip_diff,3,822886,2026-06-20,Rangers,Padres,0.5306864966369137,1
core_plus__sp_fip_diff,3,822966,2026-06-19,Rays,Nationals,0.46319497936826726,1
core_plus__sp_fip_diff,3,823124,2026-06-20,Mariners,Red Sox,0.5917302377650825,0
core_plus__sp_fip_diff,3,823534,2026-06-19,Yankees,Reds,0.5636168140726477,1
core_plus__sp_fip_diff,3,823853,2026-06-19,Marlins,Giants,0.521416719212064,1
