experiment,fold_id,game_id,game_date,home_team,away_team,research_home_win_probability,outcome
core_plus_shadow_now,1,823371,2026-06-11,Pirates,Dodgers,0.4420948828627814,0
core_plus_shadow_now,1,823619,2026-06-11,Mets,Cardinals,0.5862322359750793,1
core_plus_shadow_now,1,823855,2026-06-11,Marlins,D-backs,0.8480139975486378,1
core_plus_shadow_now,1,824101,2026-06-11,Royals,Rangers,0.3781011430653761,0
core_plus_shadow_now,1,824265,2026-06-11,Tigers,Twins,0.6705480938207864,1
core_plus_shadow_now,1,824346,2026-06-11,Rockies,Cubs,0.44030355221064893,0
core_plus_shadow_now,1,824827,2026-06-11,Orioles,Mariners,0.3369466737830277,1
core_plus_shadow_now,1,822726,2026-06-12,Nationals,Mariners,0.41696870014346593,0
core_plus_shadow_now,1,822803,2026-06-12,Blue Jays,Yankees,0.39494240938815195,1
core_plus_shadow_now,1,823211,2026-06-13,Giants,Cubs,0.5779132251720747,0
core_plus_shadow_now,1,823370,2026-06-12,Pirates,Marlins,0.6424244120554637,0
core_plus_shadow_now,1,823617,2026-06-12,Mets,Braves,0.5256925677625711,1
core_plus_shadow_now,1,823695,2026-06-13,Twins,Cardinals,0.5333446217011603,1
core_plus_shadow_now,1,823778,2026-06-12,Brewers,Phillies,0.4279192070593256,1
core_plus_shadow_now,1,824020,2026-06-13,Angels,Rays,0.4189910477196932,1
core_plus_shadow_now,1,824102,2026-06-13,Royals,Astros,0.494135142592808,0
core_plus_shadow_now,2,824425,2026-06-12,Guardians,Tigers,0.4694910467530801,1
core_plus_shadow_now,2,824507,2026-06-12,Reds,D-backs,0.3472811671324282,0
core_plus_shadow_now,2,824588,2026-06-12,White Sox,Dodgers,0.5287934354069762,1
core_plus_shadow_now,2,824752,2026-06-12,Red Sox,Rangers,0.39008577219274837,1
core_plus_shadow_now,2,824826,2026-06-12,Orioles,Padres,0.669100788132059,1
core_plus_shadow_now,2,824997,2026-06-13,Athletics,Rockies,0.4321629140081245,1
core_plus_shadow_now,2,822725,2026-06-13,Nationals,Mariners,0.683153021038901,1
core_plus_shadow_now,2,822802,2026-06-13,Blue Jays,Yankees,0.3984236532764809,0
core_plus_shadow_now,2,823213,2026-06-14,Giants,Cubs,0.42708439665486553,0
core_plus_shadow_now,2,823369,2026-06-13,Pirates,Marlins,0.5727921898043573,1
core_plus_shadow_now,2,823616,2026-06-13,Mets,Braves,0.6638272990697568,0
core_plus_shadow_now,2,823694,2026-06-13,Twins,Cardinals,0.584296238222948,0
core_plus_shadow_now,2,823776,2026-06-13,Brewers,Phillies,0.38674355093570983,0
core_plus_shadow_now,2,824019,2026-06-14,Angels,Rays,0.5314227601570859,1
core_plus_shadow_now,2,824100,2026-06-13,Royals,Astros,0.5891342487283573,0
core_plus_shadow_now,2,824426,2026-06-13,Guardians,Tigers,0.30593185558122826,1
core_plus_shadow_now,2,824508,2026-06-13,Reds,D-backs,0.3813404413341678,1
core_plus_shadow_now,2,824587,2026-06-13,White Sox,Dodgers,0.5003058317984955,0
core_plus_shadow_now,2,824749,2026-06-13,Red Sox,Rangers,0.3296019551518677,1
core_plus_shadow_now,2,824828,2026-06-13,Orioles,Padres,0.5722796424832706,0
core_plus_shadow_now,2,824995,2026-06-14,Athletics,Rockies,0.4891160727539486,1
core_plus_shadow_now,2,822722,2026-06-14,Nationals,Mariners,0.4545117176497699,1
core_plus_shadow_now,2,822801,2026-06-14,Blue Jays,Yankees,0.377303146217889,0
core_plus_shadow_now,2,823212,2026-06-14,Giants,Cubs,0.5814937850462163,1
core_plus_shadow_now,2,823368,2026-06-14,Pirates,Marlins,0.5595110393070385,0
core_plus_shadow_now,2,823615,2026-06-14,Mets,Braves,0.6059024938666641,1
core_plus_shadow_now,2,823693,2026-06-14,Twins,Cardinals,0.4763305574314224,1
core_plus_shadow_now,2,823777,2026-06-14,Brewers,Phillies,0.30570922604901946,1
core_plus_shadow_now,2,824021,2026-06-14,Angels,Rays,0.48811853233852265,0
core_plus_shadow_now,2,824099,2026-06-14,Royals,Astros,0.3889524106071958,1
core_plus_shadow_now,2,824506,2026-06-14,Reds,D-backs,0.5704585123778111,0
core_plus_shadow_now,2,824586,2026-06-14,White Sox,Dodgers,0.5299133196029022,1
core_plus_shadow_now,2,824751,2026-06-14,Red Sox,Rangers,0.40964100645647517,0
core_plus_shadow_now,2,824823,2026-06-14,Orioles,Padres,0.5045122813737255,0
core_plus_shadow_now,2,824994,2026-06-14,Athletics,Rockies,0.40281249045709366,0
core_plus_shadow_now,2,822724,2026-06-15,Nationals,Royals,0.8263195280379929,1
core_plus_shadow_now,2,822887,2026-06-16,Rangers,Twins,0.5016602068703352,0
core_plus_shadow_now,2,823046,2026-06-15,Cardinals,Padres,0.6253316604704604,1
core_plus_shadow_now,2,823452,2026-06-15,Phillies,Marlins,0.6625344056047596,1
core_plus_shadow_now,2,823938,2026-06-16,Dodgers,Rays,0.27183673987137946,1
core_plus_shadow_now,2,824181,2026-06-16,Astros,Tigers,0.471287977464339,0
core_plus_shadow_now,2,824505,2026-06-15,Reds,Mets,0.449679198206062,1
core_plus_shadow_now,2,824666,2026-06-16,Cubs,Rockies,0.6348385910817942,1
core_plus_shadow_now,2,824993,2026-06-16,Athletics,Pirates,0.6254336756283128,1
core_plus_shadow_now,2,825071,2026-06-16,D-backs,Angels,0.3154868486325534,1
core_plus_shadow_now,2,822723,2026-06-16,Nationals,Royals,0.6591305141863966,1
core_plus_shadow_now,2,822888,2026-06-17,Rangers,Twins,0.5251277205931483,0
