candidate,fold_id,game_id,game_date,home_team,away_team,research_home_win_probability,outcome
logistic_core_c0.05_balanced,2,822801,2026-06-14,Blue Jays,Yankees,0.3962127543450574,0
logistic_core_c0.05_balanced,2,823212,2026-06-14,Giants,Cubs,0.5630883973594859,1
logistic_core_c0.05_balanced,2,823368,2026-06-14,Pirates,Marlins,0.5343394528903995,0
logistic_core_c0.05_balanced,2,823615,2026-06-14,Mets,Braves,0.5215970684890913,1
logistic_core_c0.05_balanced,2,823693,2026-06-14,Twins,Cardinals,0.44305714536848306,1
logistic_core_c0.05_balanced,2,823777,2026-06-14,Brewers,Phillies,0.4122077976355847,1
logistic_core_c0.05_balanced,2,824021,2026-06-14,Angels,Rays,0.4308657252479476,0
logistic_core_c0.05_balanced,2,824099,2026-06-14,Royals,Astros,0.40267054127321283,1
logistic_core_c0.05_balanced,2,824506,2026-06-14,Reds,D-backs,0.5283002692146832,0
logistic_core_c0.05_balanced,2,824586,2026-06-14,White Sox,Dodgers,0.49794920479166005,1
logistic_core_c0.05_balanced,2,824751,2026-06-14,Red Sox,Rangers,0.4582756514701553,0
logistic_core_c0.05_balanced,2,824823,2026-06-14,Orioles,Padres,0.45410659366730993,0
logistic_core_c0.05_balanced,2,824994,2026-06-14,Athletics,Rockies,0.5144379400700081,0
logistic_core_c0.05_balanced,2,822724,2026-06-15,Nationals,Royals,0.7586547981079331,1
logistic_core_c0.05_balanced,2,822887,2026-06-16,Rangers,Twins,0.5166371854323292,0
logistic_core_c0.05_balanced,2,823046,2026-06-15,Cardinals,Padres,0.5802241865342054,1
logistic_core_c0.05_balanced,2,823452,2026-06-15,Phillies,Marlins,0.6059840769113101,1
logistic_core_c0.05_balanced,2,823938,2026-06-16,Dodgers,Rays,0.43816302706281535,1
logistic_core_c0.05_balanced,2,824181,2026-06-16,Astros,Tigers,0.46862668092230836,0
logistic_core_c0.05_balanced,2,824505,2026-06-15,Reds,Mets,0.44929516331824754,1
logistic_core_c0.05_balanced,2,824666,2026-06-16,Cubs,Rockies,0.5798479577257979,1
logistic_core_c0.05_balanced,2,824993,2026-06-16,Athletics,Pirates,0.5404791951276701,1
logistic_core_c0.05_balanced,2,825071,2026-06-16,D-backs,Angels,0.40762221215038136,1
logistic_core_c0.05_balanced,2,822723,2026-06-16,Nationals,Royals,0.5724583890931669,1
logistic_core_c0.05_balanced,2,822888,2026-06-17,Rangers,Twins,0.5574970844139313,0
logistic_core_c0.05_balanced,2,823045,2026-06-16,Cardinals,Padres,0.5698510569971703,1
logistic_core_c0.05_balanced,2,823128,2026-06-17,Mariners,Orioles,0.5385424456689292,1
logistic_core_c0.05_balanced,2,823451,2026-06-16,Phillies,Marlins,0.40352321699427934,1
logistic_core_c0.05_balanced,2,823535,2026-06-16,Yankees,White Sox,0.46590492780385884,1
logistic_core_c0.05_balanced,2,823775,2026-06-16,Brewers,Guardians,0.3625112112793094,1
logistic_core_c0.05_balanced,2,823939,2026-06-17,Dodgers,Rays,0.5358914093591691,1
logistic_core_c0.05_balanced,2,824182,2026-06-17,Astros,Tigers,0.6084801933365381,1
logistic_core_c0.05_balanced,2,824504,2026-06-16,Reds,Mets,0.5086465717422822,1
logistic_core_c0.05_balanced,2,824667,2026-06-17,Cubs,Rockies,0.49193257045983513,0
logistic_core_c0.05_balanced,2,824750,2026-06-16,Red Sox,Blue Jays,0.47990560112077396,0
logistic_core_c0.05_balanced,2,824912,2026-06-16,Braves,Giants,0.5735194908335224,0
logistic_core_c0.05_balanced,2,824991,2026-06-17,Athletics,Pirates,0.45584125959837696,0
logistic_core_c0.05_balanced,2,825070,2026-06-17,D-backs,Angels,0.45613086617032483,0
logistic_core_c0.05_balanced,2,822721,2026-06-17,Nationals,Royals,0.5970197333961049,0
logistic_core_c0.05_balanced,2,823044,2026-06-17,Cardinals,Padres,0.5821131660350041,0
logistic_core_c0.05_balanced,2,823127,2026-06-18,Mariners,Orioles,0.5655565028837869,0
logistic_core_c0.05_balanced,2,823450,2026-06-17,Phillies,Marlins,0.4136279352097339,0
logistic_core_c0.05_balanced,2,823536,2026-06-17,Yankees,White Sox,0.5059840575117632,1
